target_id	length	eff_length	est_counts	tpm
AT1G09575.1	1152	973	9	12.1155
AT1G77405.1	1377	1198	0	0
AT1G36927.1	1317	1138	0	0
AT1G09570.1	3829	3650	210	75.3592
AT1G09560.1	942	763	50	85.8332
AT1G74850.1	2977	2798	17	7.95813
AT1G73580.1	507	328	0	0
AT1G43766.1	349	170	0	0
AT1G09590.1	708	529	97.1654	240.584
AT1G36830.1	774	595	0	0
AT1G74940.1	1207	1028	25	31.8535
AT1G51010.1	249	70.019	0	0
AT1G65730.1	2371	2192	0	0
AT1G09645.1	751	572	17	38.9281
AT1G36933.1	1802	1623	0	0
AT1G51172.1	2046	1867	0	0
AT1G51175.1	5622	5443	0	0
AT1G70985.1	614	435	0	0
AT1G42440.1	2741	2562	21	10.7362
AT1G51190.1	2136	1957	1	0.669297
AT1G70970.1	1209	1030	0	0
AT1G80470.1	1565	1386	0	0
AT1G51030.1	463	284	0	0
AT1G65710.1	1642	1463	4	3.58118
AT1G09650.1	1478	1299	0	0
AT1G65720.1	815	636	74	152.4
AT1G70980.1	1945	1766	19.3254	14.3334
AT1G43860.1	1373	1194	7	7.67898
AT1G43886.1	6269	6090	4	0.860305
AT1G36800.1	2383	2204	0	0
AT1G71010.1	5205	5026	42	10.9455
AT1G51040.1	1578	1399	1	0.936251
AT1G51160.1	845	666	27	53.1006
AT1G43870.1	888	709	0	0
AT1G20990.1	960	781	0	0
AT1G36810.1	3009	2830	0	0
AT1G65750.1	3668	3489	0	0
AT1G43880.1	1230	1051	0	0
AT1G71000.1	498	319	0	0
AT1G73830.1	939	760	24	41.3626
AT1G51170.1	1435	1256	15	15.6427
AT1G43883.1	5161	4982	0	0
AT1G70990.1	780	601	2	4.35878
AT1G65740.1	1116	937	0	0
AT1G10870.1	2769	2590	17	8.59724
AT1G21000.1	1296	1117	27	31.6607
AT1G79580.1	1534	1355	0	0
AT1G43835.1	783	604	0	0
AT1G21040.1	3352	3173	0	0
AT1G43785.1	5051	4872	0	0
AT1G51130.1	1559	1380	8	7.59313
AT1G31800.1	2070	1891	31	21.4724
AT1G10900.1	2644	2465	21	11.1587
AT1G74900.1	1648	1469	1.2649	1.12783
